code	sub_of	prefix	name	old_id	source_note
S-01-05	S-01	S	งานตัดเสาเข็มลานโหลด ห้องถังน้ำดีและชุดถังบำบัด	WP-374	เดิม: WP-374
S-02		S	งานฐานรากและพื้นอาคาร	WP-265	เดิม: WP-265
S-02-01	S-02	S	ตัดหัวเสาเข็มภายในอาคาร	WP-019	เดิม: WP-019
S-02-02	S-02	S	งานผูกเหล็กเสริม Drop Panel	WP-011	เดิม: WP-011
S-02-03	S-02	S	งานผูกเหล็กเสริมคานคอนกรีตอาคาร	WP-012	เดิม: WP-012
S-02-04	S-02	S	งานผูกเหล็กเสริมฐานรากอาคาร	WP-310	เดิม: WP-310
S-02-05	S-02	S	งานผูกเหล็กเสริมตอม่ออาคาร	WP-014	เดิม: WP-014
S-02-06	S-02	S	งานเททรายบดอัดลีนพื้นคานอาคาร	WP-034	เดิม: WP-034
S-02-07	S-02	S	งานเททรายบดอัดลีนพื้นคานห้องเย็น	WP-035	เดิม: WP-035
S-02-08	S-02	S	งานเททรายบดอัดลีนพื้นฐานรากอาคาร	WP-036	เดิม: WP-036
S-02-09	S-02	S	งานเททรายบดอัดลีนพื้น Drop Panel อาคาร	WP-037	เดิม: WP-037
S-02-10	S-02	S	งานลีนพื้นคานอาคาร (เข้าแบบ เทลีน ถอดแบบ)	WP-041	เดิม: WP-041
S-02-11	S-02	S	งานลีนพื้นคานห้องเย็น (เข้าแบบ เทลีน ถอดแบบ)	WP-042	เดิม: WP-042
S-02-12	S-02	S	งานลีนพื้นฐานรากอาคาร (เข้าแบบ เทลีน ถอดแบบ)	WP-043	เดิม: WP-043
S-02-13	S-02	S	งานลีนพื้น Drop Panel อาคาร (เข้าแบบ เทลีน ถอดแบบ)	WP-044	เดิม: WP-044
S-02-14	S-02	S	งานวางเหล็กเสริมคานคอนกรีตอาคาร	WP-056	เดิม: WP-056
S-02-15	S-02	S	งานติดตั้งลูกปูนหนุนเหล็กคานคอนกรีตอาคาร	WP-471	เดิม: WP-471
S-02-16	S-02	S	งานวางเหล็กเสริมฐานรากอาคาร	WP-057	เดิม: WP-057
S-02-17	S-02	S	งานติดตั้งลูกปูนหนุนเหล็กฐานรากอาคาร	WP-472	เดิม: WP-472
S-02-18	S-02	S	งานเข้าแบบคานคอนกรีตอาคาร	WP-060	เดิม: WP-060
S-02-19	S-02	S	งานเข้าแบบฐานรากตอม่ออาคาร	WP-061	เดิม: WP-061
S-02-20	S-02	S	งานเทคอนกรีตคานอาคาร	WP-064	เดิม: WP-064
S-02-21	S-02	S	งานเทคอนกรีตฐานรากอาคาร	WP-065	เดิม: WP-065
S-02-22	S-02	S	งานถอดแบบคานคอนกรีตอาคาร	WP-068	เดิม: WP-068
S-02-23	S-02	S	งานถอดแบบฐานรากอาคาร	WP-069	เดิม: WP-069
S-02-24	S-02	S	งานวางเหล็กเสริมตอม่ออาคาร	WP-082	เดิม: WP-082
S-02-25	S-02	S	งานติดตั้งลูกปูนหนุนเหล็กตอม่ออาคาร	WP-473	เดิม: WP-473
S-02-26	S-02	S	งานวางเหล็กเสริม Drop Panel	WP-083	เดิม: WP-083
S-02-27	S-02	S	งานติดตั้งลูกปูนหนุนเหล็ก Drop Panel	WP-470	เดิม: WP-470
S-02-28	S-02	S	งานเข้าแบบ Drop Panel	WP-085	เดิม: WP-085
S-02-29	S-02	S	งานบดอัดและปรับระดับดินเดิมของพื้นอาคาร	WP-382	เดิม: WP-382 · ใหม่ (Vol.4)
S-02-30	S-02	S	งานระดับทรายบดอัดพื้นอาคาร	WP-086	เดิม: WP-086
S-02-31	S-02	S	งานปูพลาสติกชีทพื้นอาคาร	WP-087	เดิม: WP-087
S-02-32	S-02	S	งานวางไวร์เมชพื้นอาคาร ชั้นล่าง	WP-088	เดิม: WP-088
S-02-33	S-02	S	งานวางไวร์เมชพื้นอาคาร ชั้นบน	WP-460	เดิม: WP-460
S-02-34	S-02	S	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมช ชั้นล่าง	WP-461	เดิม: WP-461
S-02-35	S-02	S	งานติดตั้งเหล็กตีนกาหนุนเหล็กไวร์เมช ชั้นบน	WP-462	เดิม: WP-462
